model,n_nodes,stage,time_mean,time_std,n_runs
WA1,4,chol_fwd_sub,31.3659,0.3099,5
WA1,4,bwd_si,23.7467,0.0436,5
WA1,4,grad_prior,17.8523,0.0087,5
WA1,4,compute_f,0.0202,0.0003,5
WA1,4,grad_quad,3.0860,0.0044,5
WA1,4,grad_scalar,0.0001,0.0000,5
AP1,4,chol_fwd_sub,49.2938,0.1483,5
AP1,4,bwd_si,26.5284,0.0333,5
AP1,4,grad_prior,38.2085,0.0670,5
AP1,4,compute_f,0.0209,0.0005,5
AP1,4,grad_quad,2.8458,0.0023,5
AP1,4,grad_scalar,0.0002,0.0000,5
WA2,4,chol_fwd_sub,63.2332,0.1746,5
WA2,4,bwd_si,33.0575,0.0085,5
WA2,4,grad_prior,48.8311,0.0134,5
WA2,4,compute_f,0.0199,0.0006,5
WA2,4,grad_quad,3.0230,0.0052,5
WA2,4,grad_scalar,0.0002,0.0000,5
